SN,NAME,LONGITUDE,LATITUDE,COUNTRY_SN,PROVINCE_SN,DISTRICT_SN
1,Appro Mobile,106.6494822,10.8005216,1,1,1
108,Hoa Mai Hotel,106.67174640000007,10.7740111,1,1,12
109,Khách Sạn Phoenix 74,106.693444,10.76731,1,1,2
110,VĨNH PHÚ GIA HOTEL,106.72013579999998,10.7361366,1,1,19
111,Khách Sạn Bích Duyên,106.69097349999993,10.7672435,1,1,2
112,Khách Sạn Graceful Saigon,106.69170099999997,10.765706,1,1,2
113,Khách Sạn Anh Duy,106.702583,10.769289,1,1,2
114,Huong Trinh Hotel,106.69304209999996,10.7699843,1,1,2
115,Khách Sạn M&m,106.69061050000005,10.7718441,1,1,2
116,Khách Sạn Quynh Kim 2,106.69324400000005,10.761841,1,1,2
117,Minh Thien Hotel,106.69195630000002,10.7697543,1,1,2
118,Khách sạn Bloom 2,106.69237220000002,10.7697957,1,1,121
119,Khách sạn Hoàng Ngọc 2,106.69509530000005,10.7716616,1,1,2
120,Khách Sạn Tuan Ngoc,106.68999540000004,10.7702907,1,1,2
121,Khách Sạn Song Anh 2,106.69849420000003,10.7734844,1,1,2
122,Khách sạn Bình An,106.73005790000002,10.7967792,1,1,10
123,Khách sạn Hello,106.690204,10.766434,1,1,2
124,Khách Sạn Kally,106.706143,10.764433,1,1,14
125,Khách Sạn Kim's 2,106.69107299999996,10.766495,1,1,2
126,Khách Sạn Hong Kong 2,106.69476199999997,10.76793,1,1,2
127,Khách Sạn Saigon Backpackers @ Cống Quỳnh,106.68946299999993,10.766346,1,1,2
128,Khách Sạn Phan Anh Backpackers Hostel,106.68937400000004,10.766852,1,1,2
129,Khách Sạn Saigon Youth Hostel,106.69263899999999,10.767385,1,1,2
130,Khách Sạn Koniko Backpackers Hostel,106.691731,10.766303,1,1,2
131,Khách Sạn Saigon Balo Hostel,106.69299999999998,10.7684,1,1,2
132,Long Hostel,106.68952890000003,10.766698,1,1,2
133,Khách sạn Budget,106.69037500000002,10.765322,1,1,2
134,Khách Sạn Văn Gia,106.63869590000002,10.79441,1,1,8
135,Khách Sạn Nhat Minh 2,106.67197829999998,10.7753522,1,1,12
136,Minh Chau Hotel,106.67710940000006,10.7685173,1,1,11
137,Khách Sạn Festival Saigon,106.68095140000003,10.7691975,1,1,11
138,Khách Sạn Xuan Loc 2,106.67835500000001,10.78719,1,1,11
139,Tran Chau Hotel,106.70685000000003,10.765488,1,1,14
140,Khách sạn Uy Danh,106.65839019999999,10.7533047,1,1,15
141,Khách Sạn Tân Hoàng Long,106.68451070000003,10.7575442,1,1,15
142,Song Xanh Hotel Saigon,106.63172310000004,10.7901813,1,1,19
143,Hoang Anh Hotel,106.70566239999994,10.7454981,1,1,19
144,ĐẠI HOÀNG GIA HOTEL,106.7053305,10.7394389,1,1,19
145,U & Me Hotel,106.69069409999997,10.735729,1,1,19
146,Khách Sạn Phu Thanh,106.70884380000007,10.7324551,1,1,19
147,Khách Sạn Bondi,106.7076773,10.729629,1,1,19
148,Khách Sạn Vien Dong 2,106.6296638,10.8230989,1,1,19
149,Khách Sạn Marvellous & Restaurant,106.72157870000001,10.7340344,1,1,19
150,Khách Sạn Hoàng Lê,106.62862589999997,10.7240878,1,1,17
151,Khách sạn Hoàng Tây,106.66446530000007,10.7755144,1,1,12
152,Hong Giao Hotel,106.67618019999998,10.7691557,1,1,11
153,Khách sạn Hoàng Hà Lê Hồng Phong,106.67195420000007,10.7728789,1,1,12
154,Khách Sạn Nhat Minh I,106.67734659999996,10.7765481,1,1,12
155,Khách Sạn An Bình 2,106.64391899999998,10.766436,1,1,13
156,QUỲNH THƯ HOTEL,106.65100319999999,10.7988646,1,1,1
157,Khách Sạn Hoa Bảo,106.68701499999997,10.831859,1,1,6
158,Khách Sạn Tân Hoàng Yến 1,106.67584450000004,10.7551872,1,1,6
159,Khách Sạn Phu An,106.68196390000003,10.8338381,1,1,6
160,Khách Sạn Palm Hoàng Dũng,106.67180499999995,10.814818,1,1,1
161,Khách sạn Xanh( Green hotel),106.64279020000004,10.7923628,1,1,1
162,Loan Phuong Hotel,106.67451400000004,10.815707,1,1,1
163,Khách sạn Hoàng Minh,106.64460450000001,10.8022242,1,1,1
164,Khách Sạn Uyen Anh,106.669351,10.814857,1,1,1
165,Khách sạn Hoa Hồng - Etown,106.641886,10.802635,1,1,1
166,HOÀNG THANH THỦY HOTEL,106.64794310000002,10.7994516,1,1,1
167,Khách sạn 99,106.65730009999993,10.7992727,1,1,1
168,KHÁCH SẠN XUÂN AN,106.65873310000006,10.7996171,1,1,1
169,HƯNG HƯƠNG HOTEL,106.65308400000004,10.796426,1,1,1
170,Khách Sạn Hùng Trang,106.657508,10.799073,1,1,1
171,Khách Sạn Francophone Sơn Phương,106.66689999999994,10.813191,1,1,1
172,Thien Vu Hotel,106.66580499999998,10.794618,1,1,1
173,Khách Sạn Huy Chương,106.68968799999993,10.791739,1,1,2
174,Khách Sạn Minh Châu,106.67481020000002,10.7793828,1,1,11
175,ĐỨC VƯỢNG 2 HOTEL,106.6739753,10.7750536,1,1,12
176,Khách Sạn Đại Kết,106.68922299999997,10.7832519,1,1,11
177,Khách Sạn Hoàng Kim Long,106.670524,10.814436,1,1,1
178,Han Phuong Long Hotel,106.63861029999998,10.8045793,1,1,1
179,Khách Sạn Ngoc Vu,106.67766140000003,10.8065831,1,1,9
180,Khách Sạn Ruby Orient,106.6097092,10.8088107,1,1,1
181,Thanh Hong Hotel,106.65448370000001,10.7967252,1,1,1
182,Khách sạn Hoàng Phụng 1,106.64172259999998,10.8043546,1,1,1
183,ÂN TÌNH HOTEL,106.65546300000005,10.764052,1,1,13
184,HERA HOTEL HÀ NỘI,105.81228799999997,20.982287,1,2,47
185,Thien An Hotel,106.79090610000003,10.864179,1,1,14
186,Khách Sạn Tân Hoàng Yến 2,106.68090559999996,10.8368009,1,1,6
187,Khách sạn Bầu Cát,106.64060399999994,10.792959,1,1,1
188,Khách Sạn Hoàng Anh Anh,106.64035850000005,10.7933189,1,1,1
